 OUTWATCH                  ConvertToHDF5             Do not have               From File                 ************                                                 YES
 ACTION                    ConvertToHDF5             Do not have               From Block                INTERPOLATE GRIDS                                            YES
 FATHER_FILENAME           ConvertToHDF5             Do not have               From Block                IPMA.hdf5                                                    YES
 FATHER_GRID_FILENAME      ConvertToHDF5             Do not have               From Block                ./IPMA_Portugal_GRID.dat                                     YES
 OUTPUTFILENAME            ConvertToHDF5             Do not have               From Block                PortugalUp_2020-01-01_2020-01-02.hdf5                        YES
 NEW_GRID_FILENAME         ConvertToHDF5             Do not have               From Block                ../../../../GeneralData/Bathymetry/PortugalUp.dat            YES
 TYPE_OF_INTERPOLATION     ConvertToHDF5             1                         From Block                3                                                            YES
 INTERPOLATION_WINDOW      ConvertToHDF5             Do not have               From Block                                                                             YES
 START                     ConvertToHDF5             Do not have               From Block                2020.00000000000 1.00000000000000 1.00000000000000 1.0000000 YES
 END                       ConvertToHDF5             Do not have               From Block                2020.00000000000 1.00000000000000 2.00000000000000 0.0000000 YES
 INTERPOLATION3D           ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 INTERPOLATION_GRID_3D     ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 NEW_INTERPOLATION         ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 INTERPOLATION_WINDOW_AUTO ConvertToHDF5             TRUE                      From Block                TRUE                                                         YES
 DO_NOT_BELIEVE_MAP        ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 EXTRAPOLATE_2D            ConvertToHDF5             0                         From Block                0                                                            YES
 EXTRAPOLATE_LIMIT         ConvertToHDF5             -2.475000000000000E+015   From Block                -2.475000000000000E+015                                      YES
 EXTRAPOLATE_PROFILE       ConvertToHDF5             TRUE                      From Block                TRUE                                                         YES
 BASE_GROUP                ConvertToHDF5             /Results                  From Block                /Results                                                     YES
 DO_NOT_BELIEVE_TIME       ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 NUM_SUB_GROUPS            ConvertToHDF5             0                         From Block                0                                                            YES
 STATIONARY_MAPPING        ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 NULL_PRECIPITATION        ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 INTERPOL_UNKNOWN_PROP     ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 ILB_IUB                   HorizontalGrid            Do not have               From File                 1 611                                                        YES
 JLB_JUB                   HorizontalGrid            Do not have               From File                 1 505                                                        YES
 HALOPOINTS                HorizontalGrid            3                         From File                 3                                                            YES
 COORD_TIP                 HorizontalGrid            Do not have               From File                 4                                                            YES
 LATITUDE                  HorizontalGrid            Do not have               From File                 39.3974800000000                                             YES
 LONGITUDE                 HorizontalGrid            Do not have               From File                 -7.00075000000000                                            YES
 DATUM                     HorizontalGrid            3                         From File                 3                                                            YES
 EASTING                   HorizontalGrid            0.00000000000000          From File                 0.00000000000000                                             YES
 NORTHING                  HorizontalGrid            0.00000000000000          From File                 0.00000000000000                                             YES
 PROJ_TYPE                 HorizontalGrid            11                        From File                 11                                                           YES
 SP1                       HorizontalGrid            30.0000000000000          From File                 30.0000000000000                                             YES
 SP2                       HorizontalGrid            60.0000000000000          From File                 60.0000000000000                                             YES
 ORIGIN                    HorizontalGrid            Do not have               From File                 -12.8000000000000 33.9935800000000                           YES
 GRID_ANGLE                HorizontalGrid            0.00000000000000          From File                 0.00000000000000                                             YES
 CONSTANT_SPACING_Y        Unknown Client            Do not have               From File                 FALSE                                                        YES
 CONSTANT_SPACING_X        Unknown Client            Do not have               From File                 FALSE                                                        YES
 BORDER_LIMITS             ModuleHorizontalGrid      Do not have               From File                                                                              YES
 FILL_VALUE                ModuleGridData            -99.0000000000000         From File                 -99.0000000000000                                            YES
 TYPE_ZUV                  ModuleGridData            Z                         From File                 Z                                                            YES
 EVOLUTION                 ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 CONSTANT_IN_SPACE         ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 DEFAULT_VALUE             ModuleGridData            0.00000000000000          From File                 0.00000000000000                                             YES
 ILB_IUB                   HorizontalGrid            Do not have               From File                 1 177                                                        YES
 JLB_JUB                   HorizontalGrid            Do not have               From File                 1 125                                                        YES
 HALOPOINTS                HorizontalGrid            3                         From File                 3                                                            YES
 COORD_TIP                 HorizontalGrid            Do not have               From File                 4                                                            YES
